="Run 39: Temperature Adjustment Fraction Alpha",0.40575
="Run 40: Payoff",126.570008245
="Run 40: Perception Delay Fraction Beta",0.09175
="Run 40: Temperature Adjustment Fraction Alpha",0.34095
="Run 41: Payoff",31.1971256189
="Run 41: Perception Delay Fraction Beta",0.51555
="Run 41: Temperature Adjustment Fraction Alpha",0.78765
="Run 42: Payoff",10.3442052235
="Run 42: Perception Delay Fraction Beta",0.58925
="Run 42: Temperature Adjustment Fraction Alpha",0.25585
="Run 43: Payoff",70.9997190535
="Run 43: Perception Delay Fraction Beta",0.17665
="Run 43: Temperature Adjustment Fraction Alpha",0.42875
="Run 44: Payoff",62.0541268748
="Run 44: Perception Delay Fraction Beta",0.20145
="Run 44: Temperature Adjustment Fraction Alpha",0.43765
="Run 45: Payoff",335.094330046
="Run 45: Perception Delay Fraction Beta",0.06015
="Run 45: Temperature Adjustment Fraction Alpha",0.88805
="Run 46: Payoff",12.995062016
="Run 46: Perception Delay Fraction Beta",0.53295
="Run 46: Temperature Adjustment Fraction Alpha",0.28945
="Run 47: Payoff",16.0823962808
="Run 47: Perception Delay Fraction Beta",0.94265
="Run 47: Temperature Adjustment Fraction Alpha",0.87925
="Run 48: Payoff",28.8770273993
="Run 48: Perception Delay Fraction Beta",0.73785
="Run 48: Temperature Adjustment Fraction Alpha",0.04405
="Run 49: Payoff",61.563695185
="Run 49: Perception Delay Fraction Beta",0.19075
="Run 49: Temperature Adjustment Fraction Alpha",0.39315
="Run 50: Payoff",18.2508513664
="Run 50: Perception Delay Fraction Beta",0.88845
="Run 50: Temperature Adjustment Fraction Alpha",0.93465
="Run 51: Payoff",25.2110208901
="Run 51: Perception Delay Fraction Beta",0.70745
="Run 51: Temperature Adjustment Fraction Alpha",0.98655
="Run 52: Payoff",33.1327129215
="Run 52: Perception Delay Fraction Beta",0.11495
="Run 52: Temperature Adjustment Fraction Alpha",0.07665
="Run 53: Payoff",35.0395326179
="Run 53: Perception Delay Fraction Beta",0.40105
="Run 53: Temperature Adjustment Fraction Alpha",0.61095
="Run 54: Payoff",31.4125321575
="Run 54: Perception Delay Fraction Beta",0.45295
="Run 54: Temperature Adjustment Fraction Alpha",0.64245
="Run 55: Payoff",194.186861796
